recipe_id,recipe_title,style,style_group,year,malt_name,malt_name_normalized,amount_lb,color_L,malt_type,pct_of_grist
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,550\u00b0L roasted barley,550\u00b0L roasted barley,1.5,,roast,13.332267360176262
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,550\u00b0L black malt,550\u00b0L black,0.25,,roast,2.222044560029377
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,Carapils,Carapils,1.000899486763435,,crystal,8.896173038795546
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,2-row malt,2-row,12.0,,base,58.536585365853654
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Maris Otter malt,Maris Otter,6.0,,base,29.268292682926827
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Caravienne\u00ae malt,Caravienne\u00ae,0.5,,crystal,2.4390243902439024
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Crystal 40\u00b0 L malt,Crystal 40\u00b0 L,0.5,,crystal,2.4390243902439024
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Crystal 65\u00b0 L malt,Crystal 65\u00b0 L,0.25,,crystal,1.2195121951219512
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Crystal 120\u00b0 L malt,Crystal 120\u00b0 L,0.125,,crystal,0.6097560975609756
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Special B malt,Special B,0.125,,specialty,0.6097560975609756
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,Orange Blossom honey,Orange Blossom honey,1.0,,adjunct,4.878048780487805
32,Columbus Pale Ale,PALE ALE,IPA,,Pale 2-Row Malt,Pale 2-Row,8.5,,base,79.06645957052022
32,Columbus Pale Ale,PALE ALE,IPA,,Munich malt,Munich,0.5,,base,4.650968210030601
32,Columbus Pale Ale,PALE ALE,IPA,,Wheat malt,Wheat,0.25,,wheat,2.3254841050153003
32,Columbus Pale Ale,PALE ALE,IPA,,CaraVienne\u00ae malt,CaraVienne\u00ae,0.5,,crystal,4.650968210030601
32,Columbus Pale Ale,PALE ALE,IPA,,20\u00b0 L crystal malt,20\u00b0 L crystal,0.25,,crystal,2.3254841050153003
32,Columbus Pale Ale,PALE ALE,IPA,,Victory malt,Victory,0.25,,specialty,2.3254841050153003
32,Columbus Pale Ale,PALE ALE,IPA,,Orange blossom honey,Orange blossom honey,0.5004497433817175,,adjunct,4.655151694372681
33,Zek’s Porter,Baltic Porter,PORTER,,Pilsener Liquid Malt Extract,Pilsener Liquid Malt Extract,5.3,2.3,specialty,33.4913112164297
33,Zek’s Porter,Baltic Porter,PORTER,,Munich Liquid Malt Extract,Munich Liquid Malt Extract,8.9,9.0,base,56.24012638230648
33,Zek’s Porter,Baltic Porter,PORTER,,Medium Crystal Malt,Medium Crystal,0.5,60.0,crystal,3.1595576619273307
33,Zek’s Porter,Baltic Porter,PORTER,,Special \u201cB\u201d Malt,Special \u201cB\u201d,0.5,,specialty,3.1595576619273307
33,Zek’s Porter,Baltic Porter,PORTER,,Carafa Special II,Carafa Special II,0.375,430.0,crystal,2.3696682464454977
33,Zek’s Porter,Baltic Porter,PORTER,,Chocolate Malt,Chocolate,0.25,350.0,roast,1.5797788309636653
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,Amber dry malt extract,Amber dry malt extract,7.0,,specialty,76.92307692307693
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,Munich malt,Munich,1.0,,base,10.989010989010989
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,Caramel 80\u00b0L malt,Caramel 80\u00b0L,0.6,80.0,crystal,6.593406593406594
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,Carapils malt,Carapils,0.5,,crystal,5.4945054945054945
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,BELGIAN,2020.0,Weyermann Pilsner malt,Weyermann Pilsner,6.0,,base,70.07299270072993
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,BELGIAN,2020.0,Gambrinus Pale Ale malt,Gambrinus Pale Ale,2.0,,base,23.357664233576642
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,BELGIAN,2020.0,wheat dry malt extract,wheat dry malt extract,0.5625,,wheat,6.569343065693431
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,Weyermann pale malt,Weyermann pale,10.0,,base,73.52454894422333
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,flaked oats,flaked oats,2.6,,adjunct,19.116382725498063
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,flaked wheat,flaked wheat,1.000899486763435,,wheat,7.359068330278619
37,Nilsson American Wheat Ale,WHEAT & RYE BEER,WHEAT_BEER,2020.0,wheat LME,wheat LME,6.4,,wheat,50.02580237087911
37,Nilsson American Wheat Ale,WHEAT & RYE BEER,WHEAT_BEER,2020.0,wheat LME,wheat LME,6.3933979999999995,,wheat,49.974197629120894
38,Simply Bone Idle Bitter,AMBER ALE,AMBER_ALE,2020.0,Maris Otter liquid malt extract,Maris Otter liquid malt extract,5.51155,,base,100.0
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,pale malt,pale,10.0,,base,71.42857142857144
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,German 6\u00b0L Munich malt,German 6\u00b0L Munich,2.0,,base,14.285714285714288
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,crystal malt 40\u00b0L,crystal malt 40\u00b0L,0.7,,crystal,5.0
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,crystal malt 80\u201390\u00b0L,crystal malt 80\u201390\u00b0L,0.7,,crystal,5.0
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,Dingemans Biscuit malt,Dingemans Biscuit,0.5,,specialty,3.571428571428572
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,Weyermann CARAFA Type 3 malt,Weyermann CARAFA Type 3,0.1,,crystal,0.7142857142857144
40,Surly Coffee Bender,BROWN ALE,BROWN_ALE,2020.0,Rahr Pale Ale malt,Rahr Pale Ale,7.8,,base,65.27196652719665
40,Surly Coffee Bender,BROWN ALE,BROWN_ALE,2020.0,Dingemans Aromatic malt,Dingemans Aromatic,2.0,,specialty,16.73640167364017
